Inventory ID,Description,Item Class,Posting Class,Brand,Description,Item Group,Sub Item Group,Trading Group,Sub Trading Group,Conversion Factor,UOM,Profit Margin Target,Supplier
COSTP0008,Cosy TP Emb. Unwrap.TwinPack 20x2s White,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,40s,Kimfay Brand,Manufactured,1,Bales of 40s,25%,Kim-Fay
COSTP0009,Cosy TP Emb. Unwrap. 12x4s White,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,40s,Kimfay Brand,Manufactured,1.2,Bales of 40s,25%,Kim-Fay
COSTP0010,Cosy TP Unemb. Wrap. 40s Singles White,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,40s,Kimfay Brand,Manufactured,1,Bales of 40s,25%,Kim-Fay
COSTP0011,Cosy TP Emb. Wrap 4x10s White,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,40s,Kimfay Brand,Manufactured,1,Bales of 40s,25%,Kim-Fay
COSTP0012,Cosy TP Emb Unwrap 4x10s+2 White Promo,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,40s,Kimfay Brand,Manufactured,1.2,Bales of 40s,25%,Kim-Fay
COSTP0013,Cosy TP Emb. Unwrap. 4x10s White + Free Airtime,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,40s,Kimfay Brand,Manufactured,1,Bales of 40s,25%,Kim-Fay
COSTP0014,Cosy TP Emb. Unwrap. 12x4s White Promo.,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,40s,Kimfay Brand,Manufactured,1.2,Bales of 40s,25%,Kim-Fay
COSTP0015,Cosy TP Emb. Unwrap. 4x10s+1 White Promo,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,40s,Kimfay Brand,Manufactured,1.1,Bales of 40s,25%,Kim-Fay
COSTP0016,Cosy TP Decaroll White LC 100M,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,Deca Roll,Kimfay Brand,Manufactured,1.2,Bales of 40s,25%,Kim-Fay
COSTP0017,Cosy TP Decaroll White 100M,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,Deca Roll,Kimfay Brand,Manufactured,1.2,Bales of 40s,25%,Kim-Fay
